load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,151606,396131,38693,39251,24030,38820,36719
1,2,80743,241690,21296,16995,8183,16403,17628
1,4,64404,313746,12968,4437,4789,1132,23908
1,8,64587,362188,8283,2577,3433,385,20638
1,12,44712,556240,7477,1707,2448,232,17351
1,16,42148,614572,7690,1464,2238,191,16496
1,32,42629,1310753,8974,1310,2342,165,18722
10,1,20151,23295,18847,19198,15655,18251,17762
10,2,24149,29038,9462,7631,6155,5500,8904
10,4,25329,44877,6090,3407,3839,994,13543
10,8,19085,57342,4171,1539,3166,396,12474
10,12,18042,65605,3488,1238,2192,224,11652
10,16,19984,81194,3503,1197,1961,187,11965
10,32,21219,115246,3884,1087,1818,165,12721
100,1,1722,1751,1706,1690,1631,1773,1698
100,2,3333,3256,1146,1031,1063,1062,1217
100,4,5593,6081,1007,629,1147,521,1441
100,8,11084,10898,775,428,1017,352,1367
100,12,10168,12259,609,433,863,238,1321
100,16,12808,17017,582,434,892,196,1315
100,32,13374,18601,585,445,781,176,1427
1000,1,173,175,170,171,172,174,171
1000,2,338,331,134,133,144,186,187
1000,4,654,655,149,111,154,191,172
1000,8,1243,1287,157,111,170,190,166
1000,12,1739,1776,153,110,180,148,168
1000,16,2347,2367,160,110,201,142,161
1000,32,2917,2981,169,115,208,139,172
10000,1,16,16,17,16,16,16,16
10000,2,33,33,16,16,17,25,24
10000,4,65,67,16,16,17,32,27
10000,8,131,129,16,16,18,37,30
10000,12,197,195,17,16,18,41,31
10000,16,255,257,17,16,19,40,30
10000,32,327,331,18,18,24,43,30
