load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,271652,613739,49881,3619,25536,60147,22967
1,2,89273,1188957,367,4805,1945,12817,10280
1,4,77873,734198,312,3880,1627,2359,7166
1,8,101058,631677,310,3167,902,1463,4373
1,12,113295,757042,306,3162,784,1562,4307
1,16,123225,1278022,308,3162,720,1766,4282
1,32,127697,2218571,312,3154,629,2044,3864
10,1,28196,30123,22369,3091,14905,24454,14009
10,2,30021,58605,338,4556,1962,11144,9646
10,4,47315,66937,309,4514,1619,2548,6613
10,8,63566,87003,315,3200,900,1400,4387
10,12,71403,97862,308,3169,784,1615,4309
10,16,78412,109256,308,3171,714,1808,4131
10,32,88908,126843,307,3163,623,2087,3805
100,1,1951,1969,1917,1254,1845,1930,1827
100,2,3700,3829,304,2219,1359,3223,3182
100,4,7100,7198,263,4005,1279,3137,5173
100,8,11806,11893,264,4094,899,1753,5346
100,12,12429,12568,261,4103,755,1984,5324
100,16,12629,12701,266,4095,696,2252,5196
100,32,12540,12586,266,3998,605,2709,4899
1000,1,190,191,190,180,189,190,189
1000,2,370,372,123,347,259,365,366
1000,4,720,721,119,672,458,702,704
1000,8,1329,1306,118,1232,397,1166,1265
1000,12,1335,1322,118,1238,395,1227,1265
1000,16,1338,1329,118,1241,387,1229,1268
1000,32,1342,1335,114,1247,361,1238,1274
10000,1,19,19,19,18,19,19,19
10000,2,37,37,17,36,30,37,37
10000,4,72,72,17,71,50,72,72
10000,8,134,132,17,133,58,133,133
10000,12,134,133,17,133,61,133,133
10000,16,134,133,18,133,59,133,133
10000,32,134,134,18,133,58,133,134
