load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,55484,138301,15839,6611,8643,20569,17300
1,2,38398,276700,6987,3587,3431,847,6084
1,4,44242,237930,5494,3047,1283,617,3212
1,8,43035,505443,4639,1863,1391,417,1771
1,12,24414,668322,4162,1238,1522,381,1860
1,16,17849,884769,3849,917,1421,379,1898
1,32,11428,1211758,3474,920,1053,371,2010
10,1,7486,8008,6723,4072,4469,7304,7059
10,2,13281,16024,5213,2116,1685,834,3147
10,4,22514,28552,4183,1775,943,603,2747
10,8,40164,58568,3874,1319,1042,417,1386
10,12,32444,82976,3831,958,1114,383,1379
10,16,20553,106296,3943,848,1041,375,1406
10,32,11430,137608,4119,860,829,369,1377
100,1,753,761,744,696,708,750,748
100,2,1490,1523,455,444,482,503,663
100,4,2922,3004,639,353,484,449,716
100,8,5851,6032,639,421,505,357,498
100,12,8755,9015,642,406,517,332,497
100,16,11140,11436,645,393,531,326,497
100,32,14110,14470,703,381,511,323,433
1000,1,76,76,76,75,75,76,76
1000,2,152,153,63,63,117,124,114
1000,4,304,305,63,61,167,158,147
1000,8,609,611,63,61,201,158,155
1000,12,914,917,63,61,232,158,155
1000,16,1159,1162,63,61,240,159,156
1000,32,1431,1468,77,62,244,161,159
10000,1,7,7,7,7,7,7,7
10000,2,15,15,7,7,13,13,12
10000,4,30,30,7,7,21,19,19
10000,8,61,61,7,7,28,27,25
10000,12,92,92,8,8,33,30,28
10000,16,116,116,8,8,37,31,28
10000,32,144,146,9,8,43,34,30
